Freq (hertz)	SPL (dB)	WPhase (deg)
10.00   	64.79   	154.41  
10.14   	64.92   	154.01  
10.29   	65.04   	153.61  
10.44   	65.17   	153.21  
10.59   	65.29   	152.79  
10.74   	65.42   	152.37  
10.90   	65.54   	151.94  
11.05   	65.66   	151.50  
11.21   	65.79   	151.06  
11.37   	65.91   	150.61  
11.54   	66.04   	150.15  
11.70   	66.16   	149.68  
11.87   	66.29   	149.20  
12.04   	66.41   	148.72  
12.22   	66.54   	148.22  
12.39   	66.66   	147.72  
12.57   	66.78   	147.21  
12.75   	66.91   	146.69  
12.94   	67.03   	146.16  
13.12   	67.16   	145.62  
13.31   	67.28   	145.07  
13.50   	67.41   	144.51  
13.70   	67.53   	143.94  
13.89   	67.66   	143.36  
14.10   	67.78   	142.77  
14.30   	67.91   	142.17  
14.50   	68.03   	141.56  
14.71   	68.16   	140.93  
14.92   	68.28   	140.30  
15.14   	68.40   	139.65  
15.36   	68.53   	138.99  
15.58   	68.65   	138.32  
15.80   	68.78   	137.63  
16.03   	68.90   	136.94  
16.26   	69.03   	136.23  
16.50   	69.15   	135.51  
16.73   	69.28   	134.77  
16.98   	69.40   	134.02  
17.22   	69.53   	133.26  
17.47   	69.65   	132.48  
17.72   	69.78   	131.69  
17.97   	69.90   	130.88  
18.23   	70.03   	130.06  
18.50   	70.15   	129.22  
18.76   	70.28   	128.37  
19.03   	70.40   	127.50  
19.31   	70.53   	126.62  
19.59   	70.65   	125.72  
19.87   	70.78   	124.80  
20.15   	70.90   	123.87  
20.44   	71.03   	122.92  
20.74   	71.15   	121.96  
21.04   	71.28   	120.98  
21.34   	71.40   	119.98  
21.65   	71.53   	118.97  
21.96   	71.65   	117.94  
22.28   	71.78   	116.89  
22.60   	71.90   	115.82  
22.92   	72.03   	114.74  
23.25   	72.15   	113.65  
23.59   	72.28   	112.53  
23.93   	72.40   	111.40  
24.27   	72.53   	110.25  
24.62   	72.65   	109.09  
24.98   	72.78   	107.91  
25.34   	72.90   	106.72  
25.70   	73.03   	105.51  
26.07   	73.15   	104.29  
26.45   	73.28   	103.05  
26.83   	73.41   	101.80  
27.21   	73.53   	100.54  
27.61   	73.66   	99.26   
28.00   	73.78   	97.98   
28.41   	73.91   	96.68   
28.82   	74.03   	95.37   
29.23   	74.16   	94.05   
29.65   	74.29   	92.72   
30.08   	74.41   	91.39   
30.51   	74.54   	90.04   
30.95   	74.66   	88.69   
31.40   	74.79   	87.34   
31.85   	74.92   	85.98   
32.31   	75.04   	84.61   
32.77   	75.17   	83.25   
33.25   	75.29   	81.88   
33.72   	75.42   	80.51   
34.21   	75.55   	79.14   
34.70   	75.67   	77.77   
35.20   	75.80   	76.41   
35.71   	75.93   	75.04   
36.22   	76.05   	73.69   
36.75   	76.18   	72.33   
37.28   	76.31   	70.98   
37.81   	76.43   	69.64   
38.36   	76.56   	68.30   
38.91   	76.69   	66.97   
39.47   	76.81   	65.65   
40.04   	76.94   	64.34   
40.62   	77.07   	63.03   
41.20   	77.20   	61.74   
41.79   	77.32   	60.46   
42.40   	77.45   	59.18   
43.01   	77.58   	57.92   
43.63   	77.71   	56.67   
44.26   	77.83   	55.43   
44.89   	77.96   	54.21   
45.54   	78.09   	52.99   
46.20   	78.22   	51.79   
46.86   	78.35   	50.60   
47.54   	78.47   	49.43   
48.22   	78.60   	48.26   
48.91   	78.73   	47.11   
49.62   	78.86   	45.97   
50.33   	78.99   	44.85   
51.06   	79.12   	43.73   
51.79   	79.25   	42.63   
52.54   	79.38   	41.54   
53.30   	79.51   	40.47   
54.07   	79.64   	39.40   
54.84   	79.77   	38.35   
55.63   	79.90   	37.30   
56.44   	80.03   	36.27   
57.25   	80.16   	35.25   
58.07   	80.29   	34.24   
58.91   	80.42   	33.24   
59.76   	80.55   	32.25   
60.62   	80.68   	31.27   
61.49   	80.81   	30.30   
62.38   	80.94   	29.33   
63.28   	81.07   	28.38   
64.19   	81.21   	27.43   
65.11   	81.34   	26.49   
66.05   	81.47   	25.56   
67.00   	81.60   	24.63   
67.97   	81.73   	23.71   
68.95   	81.87   	22.80   
69.94   	82.00   	21.89   
70.95   	82.13   	20.99   
71.97   	82.27   	20.09   
