Freq (hertz)	SPL (dB)	WPhase (deg)
   10.00	   30.34	  -26.52
   10.14	   30.84	  -26.91
   10.29	   31.34	  -27.30
   10.44	   31.83	  -27.70
   10.59	   32.33	  -28.10
   10.74	   32.83	  -28.51
   10.90	   33.33	  -28.93
   11.05	   33.83	  -29.35
   11.21	   34.32	  -29.77
   11.37	   34.82	  -30.21
   11.54	   35.32	  -30.65
   11.70	   35.82	  -31.09
   11.87	   36.32	  -31.55
   12.04	   36.81	  -32.01
   12.22	   37.31	  -32.48
   12.39	   37.81	  -32.95
   12.57	   38.31	  -33.43
   12.75	   38.81	  -33.92
   12.94	   39.31	  -34.42
   13.12	   39.80	  -34.92
   13.31	   40.30	  -35.43
   13.50	   40.80	  -35.95
   13.70	   41.30	  -36.48
   13.89	   41.80	  -37.01
   14.10	   42.30	  -37.55
   14.30	   42.80	  -38.11
   14.50	   43.30	  -38.67
   14.71	   43.79	  -39.23
   14.92	   44.29	  -39.81
   15.14	   44.79	  -40.40
   15.36	   45.29	  -40.99
   15.58	   45.79	  -41.60
   15.80	   46.29	  -42.21
   16.03	   46.79	  -42.83
   16.26	   47.29	  -43.47
   16.50	   47.79	  -44.11
   16.73	   48.29	  -44.76
   16.98	   48.79	  -45.43
   17.22	   49.29	  -46.10
   17.47	   49.79	  -46.79
   17.72	   50.29	  -47.48
   17.97	   50.79	  -48.19
   18.23	   51.29	  -48.91
   18.50	   51.79	  -49.64
   18.76	   52.29	  -50.38
   19.03	   52.79	  -51.13
   19.31	   53.29	  -51.90
   19.59	   53.79	  -52.68
   19.87	   54.29	  -53.47
   20.15	   54.79	  -54.28
   20.44	   55.29	  -55.09
   20.74	   55.79	  -55.93
   21.04	   56.29	  -56.77
   21.34	   56.79	  -57.63
   21.65	   57.29	  -58.51
   21.96	   57.79	  -59.40
   22.28	   58.29	  -60.30
   22.60	   58.80	  -61.22
   22.92	   59.30	  -62.16
   23.25	   59.80	  -63.11
   23.59	   60.30	  -64.09
   23.93	   60.80	  -65.07
   24.27	   61.30	  -66.08
   24.62	   61.81	  -67.10
   24.98	   62.31	  -68.14
   25.34	   62.81	  -69.21
   25.70	   63.31	  -70.29
   26.07	   63.81	  -71.39
   26.45	   64.32	  -72.51
   26.83	   64.82	  -73.65
   27.21	   65.32	  -74.82
   27.61	   65.82	  -76.00
   28.00	   66.32	  -77.21
   28.41	   66.83	  -78.45
   28.82	   67.33	  -79.70
   29.23	   67.83	  -80.99
   29.65	   68.33	  -82.29
   30.08	   68.83	  -83.63
   30.51	   69.33	  -84.99
   30.95	   69.83	  -86.38
   31.40	   70.33	  -87.80
   31.85	   70.83	  -89.25
   32.31	   71.33	  -90.72
   32.77	   71.83	  -92.23
   33.25	   72.32	  -93.78
   33.72	   72.82	  -95.35
   34.21	   73.31	  -96.96
   34.70	   73.81	  -98.60
   35.20	   74.30	 -100.28
   35.71	   74.79	 -102.00
   36.22	   75.28	 -103.75
   36.75	   75.77	 -105.54
   37.28	   76.26	 -107.37
   37.81	   76.74	 -109.24
   38.36	   77.22	 -111.15
   38.91	   77.70	 -113.11
   39.47	   78.18	 -115.10
   40.04	   78.65	 -117.14
   40.62	   79.12	 -119.23
   41.20	   79.59	 -121.36
   41.79	   80.05	 -123.53
   42.40	   80.51	 -125.75
   43.01	   80.96	 -128.01
   43.63	   81.41	 -130.32
   44.26	   81.85	 -132.67
   44.89	   82.29	 -135.07
   45.54	   82.72	 -137.51
   46.20	   83.15	 -139.99
   46.86	   83.56	 -142.52
   47.54	   83.97	 -145.09
   48.22	   84.38	 -147.69
   48.91	   84.77	 -150.34
   49.62	   85.16	 -153.01
   50.33	   85.54	 -155.73
   51.06	   85.90	 -158.47
   51.79	   86.26	 -161.24
   52.54	   86.61	 -164.03
   53.30	   86.95	 -166.85
   54.07	   87.28	 -169.68
   54.84	   87.60	 -172.53
   55.63	   87.91	 -175.40
   56.44	   88.21	 -178.27
   57.25	   88.50	  178.85
   58.07	   88.78	  175.97
   58.91	   89.05	  173.09
   59.76	   89.31	  170.22
   60.62	   89.56	  167.35
   61.49	   89.80	  164.48
   62.38	   90.03	  161.63
   63.28	   90.26	  158.79
   64.19	   90.47	  155.97
   65.11	   90.68	  153.16
   66.05	   90.88	  150.37
   67.00	   91.07	  147.60
   67.97	   91.26	  144.85
   68.95	   91.44	  142.12
   69.94	   91.61	  139.41
   70.95	   91.78	  136.72
   71.97	   91.94	  134.05
   73.01	   92.09	  131.40
   74.06	   92.24	  128.77
   75.12	   92.39	  126.16
   76.21	   92.52	  123.57
   77.30	   92.66	  121.01
   78.42	   92.79	  118.46
   79.55	   92.92	  115.92
   80.69	   93.04	  113.41
   81.85	   93.16	  110.91
   83.03	   93.27	  108.43
   84.23	   93.38	  105.96
   85.44	   93.49	  103.51
   86.67	   93.59	  101.07
   87.92	   93.69	   98.64
   89.19	   93.78	   96.23
   90.47	   93.87	   93.83
   91.78	   93.96	   91.44
   93.10	   94.05	   89.06
   94.44	   94.13	   86.69
   95.80	   94.20	   84.33
   97.18	   94.28	   81.99
   98.58	   94.34	   79.65
  100.00	   94.41	   77.32
  101.44	   94.47	   75.01
  102.90	   94.53	   72.70
  104.38	   94.58	   70.41
  105.89	   94.63	   68.12
  107.41	   94.68	   65.85
  108.96	   94.72	   63.59
  110.53	   94.76	   61.34
  112.12	   94.79	   59.10
  113.74	   94.82	   56.88
  115.38	   94.84	   54.67
  117.04	   94.87	   52.47
  118.72	   94.88	   50.29
  120.43	   94.90	   48.12
  122.17	   94.91	   45.98
  123.93	   94.91	   43.84
  125.71	   94.91	   41.73
  127.52	   94.91	   39.63
  129.36	   94.90	   37.56
  131.22	   94.90	   35.50
  133.11	   94.88	   33.46
  135.03	   94.87	   31.44
  136.98	   94.85	   29.45
  138.95	   94.83	   27.47
  140.95	   94.80	   25.52
  142.98	   94.77	   23.59
  145.04	   94.74	   21.68
  147.13	   94.71	   19.80
  149.25	   94.68	   17.94
  151.40	   94.64	   16.10
  153.58	   94.60	   14.29
  155.79	   94.56	   12.50
  158.04	   94.52	   10.73
  160.31	   94.48	    8.99
  162.62	   94.43	    7.27
  164.96	   94.38	    5.57
  167.34	   94.34	    3.89
  169.75	   94.29	    2.24
  172.20	   94.24	    0.61
  174.68	   94.19	   -1.00
  177.19	   94.15	   -2.58
  179.75	   94.10	   -4.15
  182.33	   94.05	   -5.70
  184.96	   94.00	   -7.22
  187.63	   93.95	   -8.73
  190.33	   93.91	  -10.22
  193.07	   93.86	  -11.69
  195.85	   93.82	  -13.15
  198.67	   93.77	  -14.59
  201.53	   93.73	  -16.01
  204.44	   93.69	  -17.42
  207.38	   93.65	  -18.82
  210.37	   93.61	  -20.20
  213.40	   93.57	  -21.58
  216.47	   93.54	  -22.94
  219.59	   93.51	  -24.30
  222.75	   93.48	  -25.64
  225.96	   93.45	  -26.98
  229.22	   93.43	  -28.32
  232.52	   93.41	  -29.65
  235.87	   93.39	  -30.98
  239.27	   93.37	  -32.31
  242.71	   93.36	  -33.64
  246.21	   93.35	  -34.97
  249.76	   93.35	  -36.31
  253.35	   93.35	  -37.65
  257.00	   93.35	  -39.01
  260.70	   93.36	  -40.37
  264.46	   93.37	  -41.75
  268.27	   93.38	  -43.14
  272.13	   93.40	  -44.55
  276.05	   93.42	  -45.99
  280.03	   93.45	  -47.45
  284.06	   93.49	  -48.93
  288.16	   93.52	  -50.45
  292.31	   93.57	  -52.01
  296.52	   93.61	  -53.60
  300.79	   93.67	  -55.25
  305.12	   93.72	  -56.94
  309.52	   93.78	  -58.68
  313.97	   93.85	  -60.49
  318.50	   93.92	  -62.36
  323.08	   93.99	  -64.31
  327.74	   94.07	  -66.34
  332.46	   94.15	  -68.46
  337.25	   94.23	  -70.67
  342.11	   94.31	  -72.98
  347.03	   94.39	  -75.40
  352.03	   94.47	  -77.94
  357.10	   94.55	  -80.60
  362.25	   94.62	  -83.39
  367.47	   94.68	  -86.31
  372.76	   94.74	  -89.37
  378.13	   94.78	  -92.56
  383.58	   94.81	  -95.89
  389.10	   94.81	  -99.35
  394.71	   94.80	 -102.93
  400.39	   94.76	 -106.61
  406.16	   94.70	 -110.38
  412.01	   94.60	 -114.21
  417.94	   94.48	 -118.09
  423.96	   94.32	 -121.98
  430.07	   94.13	 -125.86
  436.27	   93.91	 -129.71
  442.55	   93.66	 -133.48
  448.93	   93.38	 -137.17
  455.39	   93.08	 -140.75
  461.95	   92.75	 -144.21
  468.61	   92.41	 -147.53
  475.36	   92.05	 -150.72
  482.20	   91.67	 -153.75
  489.15	   91.29	 -156.65
  496.19	   90.90	 -159.39
  503.34	   90.51	 -162.00
  510.59	   90.12	 -164.48
  517.95	   89.72	 -166.83
  525.41	   89.33	 -169.06
  532.98	   88.94	 -171.18
  540.65	   88.55	 -173.20
  548.44	   88.17	 -175.12
  556.34	   87.80	 -176.96
  564.36	   87.43	 -178.72
  572.48	   87.07	  179.59
  580.73	   86.72	  177.96
  589.10	   86.38	  176.38
  597.58	   86.05	  174.85
  606.19	   85.72	  173.36
  614.92	   85.41	  171.90
  623.78	   85.10	  170.46
  632.76	   84.81	  169.04
  641.88	   84.53	  167.64
  651.13	   84.26	  166.24
  660.50	   83.99	  164.83
  670.02	   83.74	  163.42
  679.67	   83.50	  161.99
  689.46	   83.27	  160.54
  699.39	   83.05	  159.05
  709.47	   82.84	  157.53
  719.69	   82.64	  155.96
  730.05	   82.45	  154.33
  740.57	   82.26	  152.65
  751.24	   82.09	  150.89
  762.06	   81.92	  149.05
  773.03	   81.76	  147.12
  784.17	   81.61	  145.09
  795.47	   81.46	  142.95
  806.92	   81.32	  140.70
  818.55	   81.17	  138.33
  830.34	   81.03	  135.83
  842.30	   80.88	  133.20
  854.43	   80.73	  130.43
  866.74	   80.57	  127.53
  879.22	   80.40	  124.49
  891.89	   80.22	  121.33
  904.74	   80.02	  118.05
  917.77	   79.81	  114.66
  930.99	   79.57	  111.19
  944.40	   79.32	  107.65
  958.00	   79.04	  104.07
  971.80	   78.74	  100.47
  985.80	   78.42	   96.86
 1000.00	   78.07	   93.28
 1014.40	   77.72	   89.73
 1029.02	   77.34	   86.24
 1043.84	   76.96	   82.80
 1058.88	   76.57	   79.44
 1074.13	   76.17	   76.15
 1089.60	   75.77	   72.92
 1105.30	   75.37	   69.75
 1121.22	   74.98	   66.64
 1137.37	   74.59	   63.56
 1153.75	   74.21	   60.50
 1170.37	   73.84	   57.44
 1187.23	   73.49	   54.37
 1204.33	   73.14	   51.26
 1221.68	   72.81	   48.09
 1239.28	   72.49	   44.84
 1257.13	   72.18	   41.50
 1275.23	   71.88	   38.04
 1293.60	   71.58	   34.44
 1312.24	   71.29	   30.69
 1331.14	   70.99	   26.80
 1350.31	   70.69	   22.75
 1369.76	   70.38	   18.57
 1389.50	   70.05	   14.26
 1409.51	   69.71	    9.86
 1429.81	   69.36	    5.39
 1450.41	   68.99	    0.88
 1471.30	   68.61	   -3.64
 1492.50	   68.23	   -8.14
 1513.99	   67.84	  -12.60
 1535.80	   67.44	  -17.00
 1557.93	   67.04	  -21.31
 1580.37	   66.63	  -25.53
 1603.13	   66.24	  -29.65
 1626.22	   65.85	  -33.70
 1649.65	   65.47	  -37.68
 1673.41	   65.11	  -41.62
 1697.52	   64.77	  -45.55
 1721.97	   64.44	  -49.50
 1746.77	   64.14	  -53.51
 1771.93	   63.85	  -57.61
 1797.46	   63.57	  -61.82
 1823.35	   63.31	  -66.19
 1849.61	   63.05	  -70.72
 1876.26	   62.78	  -75.42
 1903.28	   62.51	  -80.30
 1930.70	   62.23	  -85.34
 1958.51	   61.92	  -90.50
 1986.72	   61.60	  -95.76
 2015.34	   61.25	 -101.08
 2044.37	   60.88	 -106.40
 2073.82	   60.49	 -111.70
 2103.69	   60.08	 -116.96
 2133.99	   59.67	 -122.15
 2164.73	   59.27	 -127.30
 2195.91	   58.87	 -132.41
 2227.54	   58.48	 -137.53
 2259.63	   58.11	 -142.69
 2292.18	   57.75	 -147.94
 2325.20	   57.42	 -153.33
 2358.69	   57.09	 -158.90
 2392.67	   56.77	 -164.68
 2427.13	   56.45	 -170.68
 2462.09	   56.12	 -176.87
 2497.56	   55.77	  176.76
 2533.53	   55.41	  170.28
 2570.03	   55.03	  163.76
 2607.05	   54.63	  157.24
 2644.60	   54.22	  150.79
 2682.70	   53.82	  144.41
 2721.34	   53.42	  138.11
 2760.54	   53.05	  131.85
 2800.30	   52.69	  125.58
 2840.64	   52.36	  119.23
 2881.56	   52.05	  112.74
 2923.07	   51.75	  106.05
 2965.17	   51.46	   99.14
 3007.88	   51.15	   91.99
 3051.21	   50.83	   84.64
 3095.16	   50.48	   77.16
 3139.75	   50.10	   69.61
 3184.97	   49.70	   62.07
 3230.85	   49.28	   54.55
 3277.39	   48.87	   47.08
 3324.60	   48.47	   39.60
 3372.49	   48.09	   32.05
 3421.07	   47.72	   24.35
 3470.35	   47.38	   16.42
 3520.33	   47.03	    8.22
 3571.04	   46.68	   -0.25
 3622.48	   46.31	   -8.91
 3674.66	   45.92	  -17.69
 3727.59	   45.51	  -26.48
 3781.29	   45.09	  -35.22
 3835.76	   44.69	  -43.89
 3891.01	   44.31	  -52.55
 3947.06	   43.95	  -61.28
 4003.91	   43.62	  -70.20
 4061.59	   43.31	  -79.38
 4120.09	   42.99	  -88.86
 4179.44	   42.65	  -98.59
 4239.64	   42.28	 -108.48
 4300.71	   41.88	 -118.42
 4362.66	   41.47	 -128.35
 4425.50	   41.06	 -138.29
 4489.25	   40.68	 -148.32
 4553.92	   40.31	 -158.55
 4619.51	   39.95	 -169.09
 4686.06	   39.58	 -179.95
 4753.56	   39.20	  168.95
 4822.03	   38.79	  157.74
 4891.49	   38.37	  146.56
 4961.95	   37.95	  135.44
 5033.42	   37.57	  124.29
 5105.93	   37.22	  112.97
 5179.47	   36.89	  101.35
 5254.08	   36.56	   89.38
 5329.77	   36.19	   77.13
 5406.54	   35.80	   64.73
 5484.42	   35.39	   52.31
 5563.42	   34.98	   39.84
 5643.56	   34.60	   27.20
 5724.85	   34.23	   14.25
 5807.31	   33.86	    0.93
 5890.96	   33.47	  -12.66
 5975.82	   33.05	  -26.34
 6061.90	   32.64	  -39.97
 6149.22	   32.25	  -53.60
 6237.79	   31.91	  -67.43
 6327.65	   31.58	  -81.63
 6418.79	   31.24	  -96.22
 6511.25	   30.86	 -111.06
 6605.04	   30.46	 -125.99
 6700.19	   30.07	 -140.99
 6796.70	   29.70	 -156.24
 6894.60	   29.35	 -171.88
 6993.92	   28.98	  172.11
 7094.66	   28.58	  155.97
 7196.86	   28.19	  139.86
