Freq (hertz)	SPL (dB)	WPhase (deg)
   10.00	   30.44	  -25.12
   10.14	   30.94	  -25.49
   10.29	   31.44	  -25.87
   10.44	   31.94	  -26.26
   10.59	   32.44	  -26.65
   10.74	   32.94	  -27.05
   10.90	   33.44	  -27.45
   11.05	   33.94	  -27.86
   11.21	   34.44	  -28.28
   11.37	   34.94	  -28.70
   11.54	   35.44	  -29.13
   11.70	   35.94	  -29.57
   11.87	   36.44	  -30.01
   12.04	   36.94	  -30.46
   12.22	   37.44	  -30.92
   12.39	   37.95	  -31.39
   12.57	   38.45	  -31.86
   12.75	   38.95	  -32.34
   12.94	   39.45	  -32.83
   13.12	   39.95	  -33.33
   13.31	   40.45	  -33.84
   13.50	   40.95	  -34.35
   13.70	   41.46	  -34.87
   13.89	   41.96	  -35.41
   14.10	   42.46	  -35.95
   14.30	   42.96	  -36.49
   14.50	   43.46	  -37.05
   14.71	   43.97	  -37.62
   14.92	   44.47	  -38.20
   15.14	   44.97	  -38.78
   15.36	   45.47	  -39.38
   15.58	   45.98	  -39.99
   15.80	   46.48	  -40.60
   16.03	   46.98	  -41.23
   16.26	   47.48	  -41.87
   16.50	   47.99	  -42.52
   16.73	   48.49	  -43.18
   16.98	   48.99	  -43.85
   17.22	   49.49	  -44.54
   17.47	   50.00	  -45.23
   17.72	   50.50	  -45.94
   17.97	   51.00	  -46.66
   18.23	   51.50	  -47.39
   18.50	   52.01	  -48.14
   18.76	   52.51	  -48.90
   19.03	   53.01	  -49.67
   19.31	   53.51	  -50.45
   19.59	   54.02	  -51.25
   19.87	   54.52	  -52.07
   20.15	   55.02	  -52.89
   20.44	   55.52	  -53.74
   20.74	   56.02	  -54.59
   21.04	   56.53	  -55.47
   21.34	   57.03	  -56.36
   21.65	   57.53	  -57.26
   21.96	   58.03	  -58.18
   22.28	   58.53	  -59.12
   22.60	   59.03	  -60.07
   22.92	   59.53	  -61.04
   23.25	   60.03	  -62.03
   23.59	   60.53	  -63.04
   23.93	   61.03	  -64.06
   24.27	   61.53	  -65.11
   24.62	   62.02	  -66.17
   24.98	   62.52	  -67.25
   25.34	   63.02	  -68.35
   25.70	   63.52	  -69.47
   26.07	   64.01	  -70.61
   26.45	   64.51	  -71.77
   26.83	   65.00	  -72.95
   27.21	   65.49	  -74.15
   27.61	   65.99	  -75.37
   28.00	   66.48	  -76.62
   28.41	   66.97	  -77.88
   28.82	   67.46	  -79.17
   29.23	   67.95	  -80.48
   29.65	   68.43	  -81.81
   30.08	   68.92	  -83.17
   30.51	   69.40	  -84.55
   30.95	   69.89	  -85.95
   31.40	   70.37	  -87.38
   31.85	   70.85	  -88.83
   32.31	   71.33	  -90.30
   32.77	   71.81	  -91.80
   33.25	   72.28	  -93.32
   33.72	   72.76	  -94.87
   34.21	   73.23	  -96.44
   34.70	   73.70	  -98.03
   35.20	   74.17	  -99.66
   35.71	   74.63	 -101.30
   36.22	   75.10	 -102.97
   36.75	   75.56	 -104.67
   37.28	   76.02	 -106.39
   37.81	   76.48	 -108.14
   38.36	   76.93	 -109.92
   38.91	   77.39	 -111.72
   39.47	   77.84	 -113.55
